variant,case_id,case_label,age,gender,bmi,glucose,risk_level,daily_caloric_target,plan_calories,calorie_target_error,mean_gi,max_gi,meal_coverage,meal_type_consistency,diversity,total_carbs,total_protein,total_fat,sim_reward,time_in_range,final_glucose,peak_glucose,strategy_trace,breakfast,lunch,dinner,snack
Full heuristic,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1828,202,16.0,50.0,1.0,1.0,1.0,118.4,136.6,94.8,40.0,1.0,116.70985714285715,116.70985714285715,,Veggie Burger; Eggplant Parmesan,Tandoori Chicken; Chicken Curry,Lean Beef; Mutton Curry,Coconut Chutney; Barley
Guideline planner,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1554,72,27.5,50.0,1.0,1.0,0.875,100.9,98.1,92.5,40.0,1.0,114.66357142857143,114.66357142857143,"Breakfast: carb<=25.6g, gi<=46 | Lunch: carb<=39.8g, gi<=50 | Dinner: carb<=30.7g, gi<=48 | Snack: carb<=6.3g, gi<=42",Veggie Burger; Eggplant Parmesan,Chicken Shawarma; Matar Paneer,Fish Fry; Kibbeh,Coconut Chutney; Coconut Chutney
Guideline + graph,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1560,66,30.0,50.0,1.0,1.0,0.875,100.8,91.5,94.9,40.0,1.0,114.71571428571428,114.71571428571428,"Breakfast: carb<=25.6g, gi<=46 | Lunch: carb<=39.8g, gi<=50 | Dinner: carb<=30.7g, gi<=48 | Snack: carb<=6.3g, gi<=42",Veggie Burger; Eggplant Parmesan,Chicken Shawarma; Matar Paneer,Fish Tacos; Paneer Butter Masala,Coconut Chutney; Coconut Chutney
Guideline + twin,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1560,66,30.625,50.0,1.0,1.0,0.875,103.8,91.5,92.9,40.0,1.0,115.50171428571429,115.50171428571429,"Breakfast: carb<=25.6g, gi<=46 | Lunch: carb<=39.8g, gi<=50 | Dinner: carb<=30.7g, gi<=48 | Snack: carb<=6.3g, gi<=42",Veggie Burger; Eggplant Parmesan,Chicken Shawarma; Matar Paneer,Fish Tacos; Kadai Paneer,Coconut Chutney; Coconut Chutney
Graph-Twin planner,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1560,66,30.625,50.0,1.0,1.0,0.875,103.8,91.5,92.9,40.0,1.0,115.50171428571429,115.50171428571429,"Breakfast: carb<=25.6g, gi<=46 | Lunch: carb<=39.8g, gi<=50 | Dinner: carb<=30.7g, gi<=48 | Snack: carb<=6.3g, gi<=42",Veggie Burger; Eggplant Parmesan,Chicken Shawarma; Matar Paneer,Fish Tacos; Kadai Paneer,Coconut Chutney; Coconut Chutney
RL policy only,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1792,166,44.0,85.0,1.0,1.0,1.0,277.7,72.7,45.8,25.390442857142858,0.75,156.09557142857142,156.09557142857142,high_carb | high_carb | high_carb | high_carb,Oats; Eggplant Parmesan,Gajar Halwa; Rajma Masala,Lentils; Foul Medames,Coconut Chutney; Barley
Hybrid RL + heuristic,CS1,Low risk / normal BMI,32,Female,22.0,102.0,0.1728,1626,1727,101,29.0,55.0,1.0,1.0,1.0,287.0,92.0,27.4,25.42297142857143,0.75,155.7702857142857,155.7702857142857,high_carb | high_carb | high_carb | high_carb,Oats; Veggie Burger,Chickpeas; Rajma Masala,Lentils; Black Beans,Coconut Chutney; Barley
Full heuristic,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,1876,1998,122,14.875,41.0,1.0,1.0,1.0,127.9,125.9,112.6,-17.28734285714286,0.0,165.012,165.012,,Coconut Milk; Veggie Burger,Chicken Korma; Lamb Kofta,Fish Curry; Shish Taouk,Coconut Chutney; Barley
Guideline planner,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,2039,1804,235,21.875,50.0,1.0,1.0,0.875,100.9,128.1,104.5,-18.68085714285715,0.0,160.60357142857146,160.60357142857146,"Breakfast: carb<=25.2g, gi<=38 | Lunch: carb<=39.2g, gi<=42 | Dinner: carb<=30.3g, gi<=40 | Snack: carb<=6.2g, gi<=34",Veggie Burger; Eggplant Parmesan,Shawarma; Chicken 65,Fish Curry; Chicken Shawarma,Coconut Chutney; Coconut Chutney
Guideline + graph,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,2039,1804,235,21.875,50.0,1.0,1.0,0.875,100.9,128.1,104.5,-18.68085714285715,0.0,160.60357142857146,160.60357142857146,"Breakfast: carb<=25.2g, gi<=38 | Lunch: carb<=39.2g, gi<=42 | Dinner: carb<=30.3g, gi<=40 | Snack: carb<=6.2g, gi<=34",Veggie Burger; Eggplant Parmesan,Shawarma; Chicken 65,Fish Curry; Chicken Shawarma,Coconut Chutney; Coconut Chutney
